Mn,fe,cu,zn,sulfur,cloud_coverage,n,P,K,temp,hum,pH,Rainfall,label
70.97993695,269.8079173,15.59378106,36.28172157,0.334378197,20.60239371,495.694915,0.509832151,111.342866,23.61883536,56.133777,6.041488347,912.4107605,Soybean
62.25555033,260.4023166,17.65915166,37.40968492,0.349218695,22.67455323,515.7753493,0.52641263,115.7200605,28.23827762,58.30695274,6.047637505,1215.102146,Soybean
40.70761827,265.9370776,12.20010609,36.36299275,0.335931916,27.35594314,551.842781,0.574406827,106.4921404,28.88526226,60.07205124,6.677238056,640.2691572,Soybean
33.77728295,218.5800563,6.860049508,46.625045,0.329152274,20.49038999,562.0909875,0.577157928,125.9340558,24.81432844,73.33990315,6.709315601,1198.179361,Soybean
40.71470789,91.305035,16.41846773,40.3319555,0.377363889,27.43849678,588.4908847,0.563856418,116.2113472,24.07472596,78.76493151,6.219728244,849.181139,Soybean
72.87082345,236.7367909,17.82959479,45.00686627,0.392971336,24.56767368,583.6379727,0.512911128,108.2335473,27.68383621,57.46876614,6.212277098,786.2255721,Soybean
75.83810583,86.19751093,10.05066042,29.825109,0.401521686,27.86907419,506.2340343,0.547936836,118.1110341,28.39372733,66.16625342,6.355852533,630.5954194,Soybean
25.02207007,192.9860694,6.957525297,40.95804023,0.352784617,24.98661289,531.5011738,0.564661843,114.3535203,28.47557128,52.22771098,6.544826452,563.497253,Soybean
90.45561319,66.82774929,17.7678669,21.54672393,0.436930596,23.92842733,485.4579951,0.527988013,120.9794276,23.01750589,77.33851438,6.610240155,535.81478,Soybean
60.98012251,120.6311099,8.615774056,28.57410403,0.40353034,29.61533149,584.5583871,0.571816531,124.5123475,28.60142821,66.30304621,6.835499576,1010.094794,Soybean
68.49929173,188.4270399,19.18389161,27.02671224,0.28043621,21.80342048,505.8528031,0.509589406,111.7512745,23.79285145,52.73194747,6.201744282,892.4579762,Soybean
67.96051682,249.2985924,10.03830749,35.30555842,0.467951803,20.94711466,481.4981795,0.52419443,125.9741074,24.85348173,67.11213055,6.558693003,1163.735427,Soybean
48.70725743,166.9145631,12.61548206,38.14313905,0.454139827,26.70832968,542.493421,0.507864828,125.9629193,22.56108814,78.38385018,6.147485289,867.4602409,Soybean
83.7622051,100.9549381,16.00383261,48.80552876,0.279228968,25.08038751,523.0688865,0.544513176,122.4119892,27.30514097,84.44438267,6.333028086,672.4976069,Soybean
22.3479964,133.8853675,18.78025357,26.52527268,0.426855275,29.71583596,624.129759,0.558575351,121.5304153,22.30591712,63.66763901,6.507096239,769.3317675,Soybean
47.40092832,294.6731555,18.52995032,48.59825653,0.45708147,21.22234567,520.6456974,0.541017277,115.1663713,27.7449703,72.60599677,6.918335715,986.8264392,Soybean
79.09008606,179.601238,14.3356477,23.59414997,0.457036017,23.74937781,612.6533976,0.50535619,129.5207748,22.11976299,59.37447109,6.222866759,695.9237977,Soybean
82.19384518,296.2032071,15.24090116,30.90191842,0.410584388,29.15185763,539.9888075,0.505244847,109.5239056,27.83154687,60.70879661,6.50181024,1065.483886,Soybean
35.0743856,272.7558703,16.03734959,41.70604591,0.266233408,28.4942582,548.6642923,0.514837785,132.0308261,24.47732281,72.99683685,6.129480749,613.2430247,Soybean
22.35596652,238.4853104,15.14464445,34.40309659,0.39849516,22.3313461,516.3680527,0.54714583,134.6669757,28.62868185,84.41823703,6.758106015,859.4060248,Soybean
